呵	口可kk
𥖾	石適uu
𥡦	.hd｜禾古hg
𥳠	𥫗虎vh
𥴦	𥫗遂vs
𥸚	竹覿vd
𥿄	.sa｜糸氐sd
𦉹	罒勺su
𦨢	舟氐vd
𦵦	艹俶ci
𧀶	艹卜cb
𧂨	蒂足dz
𧉛	.ih
𧋍	虫折iv
𧍝	虫帝id
𧤲	角灬jh
𧥮	言互yh
𧦚	.yh
𧿠	足幺zy
𨂇	足止zv
𨌮	車底id
𨑩	.zd｜辶弓zg
𨑼	.zh
𨘬	辶帶zd
𨪾	金虎jh
𨮹	金適ju
𩉱	革互gh
𩑾	頁氐yd｜氐頁dy
𩭲	髟的id
𩴺	鬼賣gm｜賣鬼mg
𩷎	魚狄yd
𪄱	.nd｜亠鳥wn｜鳥古ng
槙	木真mv
點	黑占hv
電	雨电yd｜雨乚yg
佔	亻占rv
澱	氵殿dd｜氵殳du
墊	土執tv
槇	木真mv
顚	頁真yv
攧	扌顛fd
驔	馬覃mt
跕	足占zv
顛	頁真yv
奌	大占dv
橝	木覃mt
嚸	口點kd｜.kv
蹎	足真zv
鈿	金田jt
傎	亻真rv
癲	疒顛bd
窴	穴真xv｜宀真bv
痁	疒占bv
齻	齒真iv
巔	山頁uy
㓠	刂占dv
㝪	宀執bv
㞟	尸奠ud
㥆	.xd
㵤	氵夾dj
㶘	氵簟dd
㸃	黑占hv
㼭	瓦坫wd
䍄	缶占fv
䓦	艹典cd
䟍	.zm
䧃	阝田et
厧	厂真iv
壂	土殿td｜土殳tu
婝	女定nd
婰	女典nd
嵮	山真uv
巓	.uy
敁	攴占pv｜占攴vp｜占又vy
敟	攵典wd
椣	木典md
橂	木奠md
痶	疒典bd
磹	石覃ut
蒧	艹占cv
蕇	艹單cd
蜔	虫甸id
𠢣	劣典ld
𠩷	厂典id
𠫉	厂顛id
𠶧	口店kd
𡱇	尸占uv
𡼓	山奠ud
𢅝	巾殿jd｜殿巾dj
𢕯	.xq｜彳覃xt
𢖩	丶丶dd
𢻅	支曲vq
𣇖	日日oo｜日工og
𣒂	木卩me
𣢥	丘欠qq
𣣈	欠念qn｜念欠nq
𣣣	尸欠uq｜欠共qg
𣧛	歹火dh
𣪀	歹顛dd
𣪪	.ub｜殳口uk｜疒殳bu
𤠶	犭真qv
𤩱	.yd｜殿玉dy
𤿶	皮典pd｜典皮dp
𥅑	.oy
𥇞	目土ot
𥑼	石伐uf｜伐石fu
𥦟	穴典xd
𥮏	竹典vd
𥳢	竹奠vd
𥴫	竹殿vd
𥵏	竹全vq
𦅆	糸奠sd
𦒻	耂占lv
𦕒	耳占ev
𦽄	艹殿cd
𧄺	艹顛cd
𧍿	虫殄it
𧽍	走真zv
𨈀	足顛zd
𩂵	雨巳ys
𩄠	雨真yv
𩅀	雨執yv
𩆔	雨墊yd
𩥄	馬真mv
𪑩	黑共hg
𪓼	黽亶md｜亶黽dm
𪖚	鼻占bv
鸟	{鸟去一}一na｜丿一pa
調	言周yv
鳥	丿灬ph
弔	乛丨aa｜弓丨ga｜乛丨vu
琱	王周wv
彫	彡周pv
鼦	鼠召uv
鯛	魚周yv
釣	金勺ju
銚	金兆jv
鵰	鳥周nv
虭	虫刀id
藋	艹翟cd｜艹隹cv
椆	木周mv
伄	亻弔rd
鋽	金卓jv
奝	大周dv
弴	弓享gx
鈟	.jd
銱	金吊jd
錭	金周jv
鑃	金翟jd｜.jv
鳭	刀鳥dn｜鳥刀nd
㒛	.rv
㪕	.wv
㹿	犭卓qv
䂪	石兆uv
䂽	石卓uv
䉆	竹鳥vn
䔙	艹釣cd
䘟	.yd
䠼	身俞uy
䵲	.hc
刟	刂召dv
瘹	疒釣bd
盄	皿弔md
瞗	目鳥on
窵	穴鳥xn｜.bn
竨	立卓lv
簓	.vd｜𥫗彡vp
蛁	虫召iv
訋	言勺yu
誂	言兆yv
雿	雨兆yv
魡	魚勺yu
鮉	魚召yv
𠄏	丨乛aa｜丨乛av｜了了ll
𠚥	刀刂dd
𠚻	𠂉刂rd
𠛪	.dv
𠤼	匚攸ky
𠥑	匚條kt
𠶰	口土kt｜丿周pv
𢁕	巾勺ju
𢄦	巾鳥jn
𢆴	.yd｜幺了yl
𣩰	.dv｜歹翟dd
𤕷	爿兆pv
𤭈	兆瓦vw
𤱩	田兆tv
𥁮	皿攸my｜攸皿ym
𥮐	𥫗周vv
𥲟	𥫗釣vd
𥾯	.sd｜糸弓sg
𦄋	糸鳥sn
𦨣	舟召vv
𦶌	艹凋cd
𦸔	.cd
𧅈	艹翟cd
𧘨	衣弓yg
𧘩	衣方yf｜方衣fy
𧜣	衤鳥yn
𨍳	.iy
𨰑	金翟jd
𨸓	阝刀ed
𩀜	隹骨vg｜骨隹gv
𩈮	面周mv
𩋙	革周gv
𩾗	鳥刁nd｜刁鳥dn
佚	亻失ru
咥	口至kv
畳	田且tq
幉	巾木jm
疊	畾一la｜田一ta
揲	扌木fm｜扌枼fy
泆	氵失du
挕	扌耳fe
臷	戈至gv｜.ug｜.vg
曡	.qb
艓	舟木vm
啑	口疌kj
殜	歹木dm
耊	耂至lv
跮	足至zv
軼	車失iu
鰈	魚木ym
怢	心失xu
㑙	.rv
㥈	心帖xt
㦶	戈至gv
㩸	扌彑fj
㩹	扌疊fd
㫼	日制ov
㬪	.oa
㭯	.mv
㲲	毛疊md
㲳	氐失du
㷸	火𬀽ha
㻡	.wy
䏲	月弟od
䘭	衤至yv
䙝	.wy｜.yv
䞇	.bu
䞕	赤需ix
䠟	足執zv
䮢	.mi
䲀	魚執yv
䳀	鳥失nu
䴑	鳥疊nd
峌	山至uv
崼	山是uu
恎	忄至xv
惵	忄木xm
戜	戈呈gi
柣	木失mu
槢	木白mb｜木習mx
氎	.lm｜.ma｜毛彑mj
牃	爿木pm
疂	田且tq
疉	.la｜.lj｜.ta
眣	目失ou
眰	目至ov
絰	糸至sv
胅	月失ou
苵	艹失cu
蜨	虫疌ij
螲	虫窒iv
褋	衤木ym
褺	衣執yv
詄	言失yu
諜	言木ym｜言枼yy
趃	走失zu
镻	镸失iu
鞢	革木gm
鴩	鳥失nu
𠅗	丁夜dy
𠆙	亭夜ty
𠗛	冫木dm
𠗨	.dy｜冫木dm
𠠯	疊刂dd
𠲷	.kv｜口乚kg
𡅥	口顛kd
𡇓	.kv
𡖐	多也dy
𡱷	.uv｜尸乚ug
𡹭	山室uu
𡺑	.uy｜山木um
𡼄	山窒uv
𢎆	弋至yv｜戈至gv
𢜨	.xy｜心木xm｜世心ux
𢬴	.fv｜扌乚fg
𢲼	扌窒fv
𢶣	扌叠fd
𣈍	日宜oy
𣛻	木牒md
𣡟	木一ma
𣧈	歹山du
𣨂	歹至dv
𣶏	.dy
𤖒	爿桑ps
𤗨	片習px
𤚊	牛木nm
𤴍	.dv
𥈖	.on｜目羊oy
𥉺	目窒ov
𥑇	石失uu
𥥌	穴失xu
𥶺	𥫗木vm
𥷕	𥫗木vm
𦁛	糸木sm
𦁜	糸木sm
𦄔	糸窒sv
𦈅	.sy｜糸疊sd
𧍱	虫室iu
𨄌	足習zx
𨈈	足疊zd
𨐁	車疊id
𨓊	.zv｜辶乚zg
𨭓	金吉jj
𨳺	門失mu
𨴗	門至mv
𨻗	阝桑es
𨾤	隹失vu
𩋞	革木gm
𩻵	.yh
𪀒	鳥至nv
𪑧	.hy｜黑木hm
頂	頁丁yd｜丁頁dy
艼	艹丁cd
铤	金廷jt
訂	言丁yd
掟	扌定fd
釘	金丁jd
錠	金定jd
濎	氵鼎dd
鋌	金廷jt
椗	木定md
饤	食丁ud
鼑	卜鼎bd｜鼎卜db
帄	巾丁jd
鐤	金鼎jd
靪	革丁gd
㝎	宀之bv
㫀	斤昌ji
㴿	氵頂dd
㼗	瓦丁wd
䦺	耳丁ed
奵	女丁nd
嵿	山頂ud
忊	心丁xd
甼	田丁td
矴	石丁ud
碠	石亭ut
磸	石奠ud
聢	耳定ed
薡	艹鼎cd
虰	虫丁id
蝊	虫定id
顁	頁定yd
飣	食丁ud
𢑅	弓弓gg
𣆍	日乚og
𣢳	丨欠aq｜欠力ql
𤐣	火鼎hd
𤛙	丨牟am｜牛厶ns
𥇓	目定od
𥯢	𥫗亭vt
𥳰	𥫗尊vz
𥸧	米丁md
𦨍	舟丁vd
𦩘	舟定vd
𧇷	曷虎hh
𧌾	.kd｜虫丁id
𧳉	豸并vb
𨡱	酉苦yk
𩜦	飠定ud
𩠑	首丁ud
𩡯	馬丁md
𩸎	魚定yd
𩾚	丁鳥dn｜鳥丁nd
丟	丿去pq
銩	金丢jd
𠲍	口丢kd
𢒝	几臣ji
東	一丶ad｜木日mo
動	力重lv
働	亻動rd
凍	冫東dd
勭	力童lt
湩	氵重dv
烔	火同ht
迵	辶同zt
棟	木東md
苳	艹冬cd
涷	氵東dd
蝀	虫東id
鼕	鼓冬gd
燑	火童ht
諌	言東yd
姛	女同nt
崠	山東ud
崬	山東ud
蕫	艹童ct
駧	馬同mt
鶇	鳥東nd
墥	土童tt
嬞	女董nd
挏	扌同ft
㑈	亻东rd
㓊	冫同dt
㖦	口東kd
㗢	口動kd
㚵	女冬nd
㜱	女質nv
㢥	.yt
㨂	扌東fd
㼯	瓦東wd
䂢	石冬ud
䅍	禾廷ht
䍶	羊東yd
䞒	赤同it
䵔	黍東ud
倲	亻東rd
埬	土東td
娻	女東nd
徚	彳柬xj
戙	戈同gt
昸	日冬od
氭	气東qd
狪	犭同qt
笗	竹冬vd
箽	竹重vv
絧	糸同st
腖	月東od
菄	艹東cd
霘	雨洞yd
鮗	魚冬yd
鯟	魚東yd
鶫	鳥柬nj
𠄉	乳重rv
𢔅	彳東xd
𢛔	心東xd
𢳾	扌動fd
𣿅	氵董dd
𤤮	王冬wd
𤦪	王東wd
𤲚	田東td
𤷆	疒東bd
𥫎	童員ty
𥳘	𥫗童vt
𦡂	月董od
𧄓	.vd｜吉董jd
𧆼	虎冬hd
𧓕	.dk｜虫虫ii｜東虫di
𧡍	見東jd｜東見dj
𧯾	.vd｜豆東dd｜吉東jd
𧲴	豸冬vd
𧳣	豸東vd
𧼓	走東zd
𧽿	走童zt
𨩧	金南jn｜南金nj
𨿢	隹東vd｜東隹dv
𩂓	雨冬yd
𩐤	音同yt
𩐵	音貢yg
𩜍	食東ud
𩣳	馬東md
𩭩	髟東id
𪐈	黍重uv
𪔦	鼓洞gd
渎	氵卖dm
闘	門寸mc
荳	艹豆cd
鬥	丨亅aa｜王亅wa
鬬	鬥斤dj
竇	穴賣xm｜宀賣bm
瀆	氵賣dm
脰	月豆od
鬪	鬥寸dc
鬭	鬥斤dj｜門斤mj
梪	木豆md
侸	亻豆rd
鬦	鬥斗dd
乧	乙斗yd
兠	北儿be｜儿白eb
唗	口走kz
郖	耳豆ed
橷	.md｜木儿me
浢	氵豆dd
鈄	金斗jd
鋀	金豆jd
阧	阝斗ed
㛒	女豆nd
㞳	山斗ud
㢄	.gd
㨮	扌兜fd
㪷	斗豆dd
㷆	.hb
䄈	示豆ud
䕆	艹榆cy
䕱	艹頭ct
䛠	言豆yd
䬦	飠殳uu
吺	口殳ku
唞	口抖kd
斣	.di｜斗蜀du
枓	木斗md
毭	豆毛dm｜毛豆md
狵	.ql｜犭尨qm
酘	酉殳yu
閗	門斗md
餖	飠豆ud
饾	食豆ud
𠍄	.rd
𠱑	.kh｜口口kk
𠾇	口厨ki
𡂛	口豆kd
𡂝	口賣km｜.ky
𡆏	口斤kj
𡙬	大售du
𡟳	.nd
𢭃	扌豆fd
𣁵	斗羊dy｜羊斗yd
𣂮	斤俞jy｜俞斤yj
𣘛	木兜md
𣭗	毛又my
𤀨	氵窬dy
𤅋	氵竇dd
𤝈	犭殳qu
𤞟	犭豆qd
𤾒	.tr｜白冗br
𥆖	目豆od
𥉝	.od｜.oy
𥥷	穴豆xd
𥺉	米豆md
𦄓	糸兜sd
𦆘	糸兒se
𧏆	臣虫ii
𧘞	衤斗yd
𧡸	.jd｜.jy
𧮡	言竇yd
𧯞	豆斤dj
𧯠	豆句dj
𧯤	豆乍dv
𧱓	豕尨um
𨁋	足豆zd
𨥪	金丶jd
𨪐	.jd｜.jy
𨴜	門有my
𨶜	門斗md
𨹜	阝豆ed
𩊪	革豆gd
𩑯	頁斗yd｜斗頁dy
𩔡	.yd｜.yy
𩮷	髟兜id
𩳈	鬼自gz｜自鬼zg
𪌉	麥斗md
𪐺	黑禾hh
顿	页屯yt
讀	言賣ym
読	言儿ye｜言壳yk
獨	犭虫qi｜犭蜀qu
竺	𥫗二ve
賭	貝者bv
斁	罒攵sw｜攵幸wx
覩	見者jv
闍	門者mv
姤	女后nh
犢	牛賣nm
妬	女石nu
篤	𥫗馬vm
讟	言賣ym｜言言yy
騳	馬馬mm
凟	冫賣dm
櫝	木賣mm
鍍	金度jd
牘	片賣pm
蠧	虫石iu｜士虫ui
剢	刂丶dd｜刂豖di
涜	.de｜.dk
秺	禾宅hv
錖	金叔ju
鑟	金賣jm
㡯	.gv
㱩	歹卖dm
㸿	.nm
㾄	疒由by
䀾	.ou
䄍	示昔ux
䅊	.hd
䈞	𥫗日vo
䐗	月者ov
䓯	艹毒cd
䙱	衤屬yu
䟻	足余zy
䢱	辶賣zm
䪅	革蜀gu
䫳	頁蜀yu
䮷	馬蜀mu
䲧	鳥土nt
匵	匚賣km
嬻	女賣nm
晵	日攵ow
暏	日者ov
殬	歹幸dx
殰	歹賣dm
琽	王者wv
瓄	王賣wm
皾	皮賣pm
荰	艹杜cd
螙	木虫mi
裻	衣叔yu
豄	谷賣gm
贕	卵賣lm
醏	酉者yv
靯	革土gt
韇	革賣gm
韣	.wi｜韋蜀wu
韥	韋賣wm
黷	黑賣hm
𠉩	亻毒rd
𠠔	賣刀md｜.dm
𠠠	賣刃mr｜.rm
𠣰	勹者gv
𡍨	土度td
𡎉	者土vt｜土者tv
𡝜	女古ng
𢉜	广者gv
𢝂	心毒xd
𢷺	扌賣fm
𢽚	.wi
𢾀	.wv｜者攴vp｜攴者pv
𢾅	.wd
𣧃	.dv｜歹七dq
𣨲	歹度dd
𣫔	殳丶ud｜殳豖ui
𣰬	毛賣mm
𤚚	牛毒nd
𤚡	牛度nd
𤫻	瓜步gb｜步瓜bg
𤬂	瓜叔gu｜叔瓜ug
𤬪	瓦土wt｜土瓦tw
𤴱	.bv｜疒七bq
𤵊	疒屯bt
𤶮	.bh
𥀁	皮者pv｜者皮vp
𥀲	皮賣pm
𥃾	目土ot
𥑯	.ug｜石冂uk
𥓇	.ux｜夕石xu｜石止uv
𥓍	叔石uu
𥖠	石蜀uu
𥖿	石賣um
𥝟	禾土ht
𥝾	.hj
𥯖	𥫗度vd
𥲗	𥫗定vd
𥳉	竹都vd
𥳲	竹昱vy
𦌷	罒賣sm｜.sy
𦏕	羊蜀yu
𦘴	.ov｜月七oq
𦙋	月丿op
𦚈	月石ou
𦛯	石月uo｜月又oy
𦡄	月都od
𦳔	艹度cd
𦺇	艹毒cd
𦺥	艹都cd
𧁿	艹獨cd
𧋌	虫冖ib｜十虫ui
𧐰	冂蜀ku｜虫勹ig
𧑠	虫石iu
𧔬	虫橐it
𧛔	衤毒yd
𧞹	衣殳yu｜土衣ty
𧰵	.iu
𧷿	貝都bd
𧾥	走賣zm
𨂭	足毒zd
𨋈	車水iu
𨍛	車毒id
𨏔	車賣im
𨽍	阝賣em
𩞾	飠蜀uu
𩥋	馬馬mm
𩧈	馬賣mm
𩨳	骨出gi｜出骨ig
𩩮	骨度gd
𩵚	魚土yt
𪍹	麥蜀mu
𪐞	.hv｜黑七hq
斷	斤𠃊ja｜斤𠃊jv｜斤幺jy
鍛	金段jd
躖	.za｜足幺zy
腶	月段od
剬	刂而de
鍴	.je
葮	艹段cd
媏	.ne
褍	衤而ye
㫁	.jy
㱭	歹段dd
䠪	足幺zy
偳	亻而re
毈	卵段ld
碫	石段ud
籪	𥫗斷vd
緞	糸段sd
𠡱	丶力dl｜力旦ld
𢯫	扌段fd
𢷖	.fj｜扌幺fy
𣠭	.mi
𥠄	禾耑hd
𥵣	𥫗端vd
𦾸	艹端cd
𧤗	角耑jd
𧶲	貝耑bd
𨱚	镸殳iu
𨺣	阝段ed
𩏇	韋段wd
𩤚	馬耑md
𩤣	馬段md
追	辶𠂤zv
對	寸土ct｜寸王cw
敦	攵享wx
対	寸文cw｜文寸wc
隊	阝豕eu
兌	八兄bx｜儿口ek
憝	心敦xd
镦	钅敦jd
懟	心對xd
兊	八允by｜儿公eg
塠	土追tv
敓	攵兑wd
濻	.dg｜氵隤dt
瀢	氵遺dy
啍	口享kx
敚	攵兑wd
轛	車對id
杸	木殳mu
濧	氵對dd
瀩	.dt
鐓	金敦jd
鐜	金敦jd
㙂	土兑td
㟋	山兑ud
㠚	山對ud
㬣	日對od
㳔	氵对dd
㵽	.dl
䇏	立享lx
䇤	𥫗丙vb
䔪	艹爽cu
䨴	雨對yd
䨺	雨雲yy
䬈	風兑fd
䬽	飠兑ud
䯟	.gs
垖	.tv
憞	心敦xd
痽	疒隹bv
磓	石追uv
綐	糸兑sd
薱	艹對cd
譈	言敦yd
譵	言對yd
陮	耳隹ev
頧	.vy｜.yv
鴭	女𠂤nv
𠂤	.vv｜.pk
𠏮	亻對rd
𠜑	兑刂dd
𠡒	.ld
𠦗	.uy
𠫨	.lf
𡁨	口對kd
𡏩	.dz
𡑈	.id
𡜥	.nd
𡷋	.ud
𢆻	幺几yj
𢈹	.gb
𢟋	心追xv
𣝉	木對md
𣪌	殳豆ud
𤄛	氵魋dt
𤤷	.wd
𤧫	王追wv
𤮩	.wx
𤷎	.bb｜疒阜bf
𤹵	疒專bv
𥑵	.ud
𥹲	米兑md
𦞱	肉鬼rg
𦡷	月對od
𦶏	.cd｜艹隹cv
𧧆	.yd
𨬍	金隋js
𨹅	.ed
𩄮	雨退yt
𩅆	雨夂yw
𩅥	雨隊yd
𩅲	.ys
𩈁	非隊fd｜隊非df
𩈜	.md
𩊭	革兑gd
𩐌	韭隊jd｜隊韭dj
𩜀	食垂ui
𩨽	.gd
𪌤	.md
𪒛	黑隊hd
墫	土尊tz
楯	木盾md
燉	火敦hd
頓	頁屯yt
遯	辶豚zt
噸	口頓kd
坉	土屯tt
鈍	金屯jt
伅	亻屯rt
躉	足萬zw
逇	辶地zd
潡	氵敦dd
忳	心屯xt
撴	扌敦fd
橔	木敦md
㬿	月敦od
䤜	.jy
墪	土敦td
庉	广屯gt
撉	手敦ud
犜	牛敦nd
獤	犭敦qd
碷	石盾ud
蜳	虫享ix
踲	足盾zd
驐	馬敦md
𠎻	亻遁rd
𡆰	囗二ke
𡼖	山敦ud｜敦山du
𢬼	.ft｜扌囤fd
𣎴	.xr｜.yr｜.yg
𣗁	石柘uv
𣚪	木一ma｜.mv｜.my
𣞇	言言yy｜木言my
𤟢	犬盾qd｜盾犬dq
𤭞	瓦享wx｜享瓦xw
𥂦	皿敦md｜敦皿dm
𥫬	𥫗一va
𥫱	𥫗屯vt
𥭒	竹囤vd
𦪔	舟敦vd
𦰭	.cv｜艹屯ct
𦼿	艹頓cd
𧝗	衣敦yd｜敦衣dy
𧿗	足丶zd
𩔂	.yh｜彖頁ty｜頁彖yt
𩞤	食敦ud｜敦食du
隋	阝月eo
隳	耳心ex｜⺗隋xs
駄	馬太mt
奪	大寸dc
墮	土月to｜土隋ts
柁	木它mt
朶	木乃mn
杕	木大md
沲	氵也dy
馱	馬大md
夛	.ax｜.vx｜.xa
陊	阝多ed
隓	阝左ez
杝	木也my
沰	氵石du
敠	攴双pu｜攴叕pv｜又又yy
柂	木也my
鐸	金幸jx
陏	阝有ey
嚲	.dx｜享單xd
墯	土惰td
敪	.wu｜攵叕wv
缍	纟垂si
凙	冫幸dx
剫	刂度dd
趓	走朵zd
鈬	金尺ji
㔍	刂算ds
㖼	口某km
㙐	土耑td
㛆	女朵nd
㛊	女朵nd
㣞	.xd
㥩	心者xv
㧷	扌吞ft
㻔	王垂wi
㻧	王桀wj
䅜	禾垂hi
䍴	羊委yw
䐾	.og
䑨	.vt
䒳	艹朵cd
䙃	衤月yo
䙟	衤圍yw
䙤	衤過yg
䠤	足單zd
䤪	金朵jd
䤻	金月jo
䩔	革殳gu
䩣	革余gy
䫂	頁多yd
䯬	.gd
䲊	魚隋ys
刴	朵刂dd
喥	口度kd
嚉	口對kd
垜	土朵td
媠	女月no｜.ny
尮	尤朵yd
崜	山垂ui
憜	心隋xs
挅	扌朵fd
挆	扌朵fd
柮	木出mi
桗	木朵md
毲	.mu｜毛叕mv
畓	水田ut
痥	疒兑bd
綞	糸垂si
跥	足朵zd
躱	身朵ud
軃	身單ud
飿	飠出ui
鬌	髟月io
鵽	.nu｜鳥叕nv
𠛫	多刂dd
𡌭	土叕tv｜叕土vt
𡓉	土有ty｜飠土ut
𡓷	.st
𡶲	山朵ud
𡺇	.ud
𢜬	忄度xd
𢳽	扌双fu
𢼠	.wb
𢿎	.wg｜白攴bp｜.py
𣑧	土木tm
𣧷	歹朵dd
𣵺	.dt
𣵻	氵陀dt
𤋨	火丑hi
𤌃	火月ho
𤛛	牛脩nx
𤢕	.qg｜犬幸qx｜罒犬sq
𤤸	王朵wd
𤬾	瓦朵wd｜朵瓦dw
𥞛	禾朵hd
𥬲	竹朵vd
𥳔	𥫗隋vs
𥿰	糸朵sd
𦍦	羊出yi
𦕰	耳朵ed
𦖋	耳垂ei
𧊱	虫朵id
𧙤	衤朵yd
𧢵	.jk
𧧇	言朵yd
𧩧	言度yd
𧱫	豕月uo
𨀟	足七zq
𨆅	足幸zx
𨉡	身垂ui
𨦃	金朵jd
𨲉	镸垂ii
𨹃	阝朵ed
𩃒	雨垂yi
𩊜	革朵gd
𩍜	.gg｜革幸gx
𩎫	韋朵wd
𩑒	.yv｜頁七yq
𩢎	馬出mi
𩬻	髟朵id
𩿩	鳥出ni｜出鳥in
𪃒	鳥度nd｜度鳥dn
𪘉	齒朵id
噁	口惡ke
阏	门於my
訛	言化yh
悪	.xy
惡	心亞xy
餓	飠我uw
搕	扌盍fh｜扌皿fm
囮	囗化kh
額	頁客yk
歺	卜夕bx｜夕卜xb
鵝	鳥我nw
阨	耳厄ee
阸	.ea｜阝乙ey
譌	言爲yw
咢	口亏kk
鱷	魚噩ye
戹	户乙hy
頟	頁各yg
顎	頁咢ye
搤	扌益fy
砐	石及uj
迗	辶天zt
峩	山我uw
痾	疒阿ba
堮	.te
珴	王我ww
鰐	.ye
鍔	金咢je
齶	齒咢ie
皒	白我bw
鶚	鳥咢ne
蕚	艹咢ce｜艹亏ck
軶	.ia｜車乙iy
遌	.ze
騀	馬我mw
鵞	鳥我nw
吪	口化kh
湂	.de
鈋	金化jh
鈪	金厄je
鋨	金我jw
鑩	金噩je
㓵	.de
㔩	.gg
㕎	.ig
㖾	.ln
㗁	.ke
㟧	.ue
㠋	.ux｜.yx
㡋	巾奄jy
㦍	.xe
㧖	扌乙fy
㩵	扌獻fx
㮙	.me
㱦	歹奇dq
㷈	火奄hy
㼂	.yy
㼢	瓦臣wi｜臣瓦iw
㼰	瓦卑wb
䄉	示我uw
䆓	穴允xy
䑥	舟及vj
䑪	舟合vh
䓊	艹吾cw
䔾	艹揭cj
䕏	艹義cy
䖸	虫我iw
䙳	覀火xh
䛖	言曳yy
䝈	.ue｜豕卮uv
䞩	走合zh
䣞	.ee
䩹	革鬲gg
䫷	頁噩ye
䱮	魚契yq
䳗	鳥我nw
䳘	鳥我nw
䳬	鳥革ng
偔	.re
僫	亻惡re
匎	.gd｜勹奄gy
卾	.ee
呝	口乙ky
堊	土亞ty
妸	女可nk
妿	女加nj
娿	女阿na
岋	山及uj
峉	山各ug
廅	广盍gh｜.gm
搹	扌鬲fg
擜	扌献fx
敋	攵各wg
枙	木厄me
櫮	木噩me
歞	.qs
琧	玉亞yy
睋	目我ow
砈	石厄ue
砨	.ua｜石乙uy
硆	石合uh
磀	石逆un
礘	.us
蚅	虫厄ie
蝁	虫亞iy
覨	見咢je
誐	言我yw
諤	言咢ye
讍	言噩ye
豟	豕乙ua｜豕乙uy
軛	車厄ie
遻	.zn
閼	門於my
頋	頁厄ye
頞	頁安ya
餩	食亥uh
魤	魚化yh
鰪	魚盍yh｜.ym
鵈	耳鳥en｜鳥耳ne
齃	鼻曷bh
𠥍	匚阿ka
𠥕	.kg
𠥜	匚歇kx
𠰜	.kj
𠱥	口卉kh
𠱫	.kl｜口丆ka｜亠口wk
𠷸	.kv
𡀾	口㬎kx
𡅅	口額ke
𡅡	噩各eg
𡪗	宀合bh
𡴯	山乙uy
𡹣	山阿ua
𡾙	山噩ue
𢃲	巾革jg
𢨡	.gh｜戈虫gi｜禾戈hg
𢼚	户攵hw
𢼛	.wg
𣄰	{无}可wk
𣘨	.me｜.my｜木可mk
𣢛	欠乙qy
𣤲	欠噩qe
𣦵	卜一ba
𤂷	氵閼de
𤎣	.ha｜火奄hy
𤡾	犬惡qe｜惡犬eq
𤪄	王罨wy
𤭼	.wt｜日瓦ow｜瓦羽wy
𤸱	.bg｜疒盍bh
𤻜	疒蓋bg
𥋙	目業oy
𥑺	.un
𥑾	石卉uh
𥓈	石十uu
𥯳	竹亏vk
𦊪	网合wh
𦛅	肉安ra
𧊜	.in
𧊧	虫合ih
𧌄	虫奄iy
𧍬	虫弇iy
𧒎	.wk
𧔼	蟲戈ig｜戈蟲gi
𧙃	衣可yk
𧚄	衤我yw
𧠞	見乙jy｜户見hj
𧢽	角化jh
𧨟	言言yy
𧭪	言丨ya
𧼎	走奄zy
𧽶	走爲zw
𧿕	足化zh
𨂁	足奄zy
𨃃	足曷zh
𨌧	車奄iy
𨤕	.by
𨵌	門阿ma
𨶯	門黑mh
𨸷	丿乙py
𨺨	.ee｜阝亏ek
𩇠	.qg｜青盍qh
𩉴	革厄ge
𩊢	革死gs
𩋊	革奄gy
𩋽	革客gk
𩐰	音亥yh
𩑁	音爲yw
𩒕	.yn
𩒰	頁我yw｜我頁wy
𩕟	頁業yy
𩕬	頁鼻yb｜鼻頁by
𩖀	.yx｜大頁dy｜.yy
𩚬	飠乙uy
𩣣	馬我mw
𩤩	馬客mk｜客馬km
𩨮	.ge｜骨厂gi｜山骨ug
𩪤	骨業gy
𩸇	魚亞yy
𩸋	魚亞yy
𩸖	魚亞yy
𪀝	.nn｜.bn｜鳥屮nc
𪅴	鳥惡ne
𪘊	齒各ig
𪘐	齒我iw
𪙯	.iw
誒	言矣yy
奀	不大bd
煾	火恩he
䅰	禾恩he
䊐	米昆mk
䬶	食艮ug
䭓	食豈uq
䭡	.uy
峎	山艮ug
𡟯	女恩ne
𡵖	山火uh
𡷐	山艮ug
𤫹	.gl｜六瓜lg｜瓜人gr
鞥	革廾gc｜革弇gy
兒	儿臼ej｜臼儿je
尓	丿丶pd｜丿小px｜𠂉小rx
爾	一爻ay｜一丶hd
貳	貝弋by｜弋貝yb
毦	耳毛em｜毛耳me
児	儿旧ej
弐	弋二ye
弍	弋二ye
尒	人小rx
洏	氵而de
餌	飠耳ue
胹	月而oe
貮	貝弋by｜弋貝yb
髵	髟而ie
刵	刂耳de
栭	木而me
轜	車需ix
輀	車而ie
邇	辶爾ze
侕	亻而re
趰	走爾ze
鉺	金耳je
㒃	亻貳re
㖇	口而ke
㚷	女尒ne
㛅	女耳ne
㜨	女犀nx
㢽	弓弭gm
㧫	扌而fe
㮕	.mr
䋙	糸耳se
䋩	糸兒se
䌺	纟耳se
䎟	而女en
䎠	而丸ew
䎶	耳申eu
䏪	月耳oe
䣵	酉耳ye
䮘	馬兒me
佴	亻耳re
唲	口兒ke
峏	山而ue
杒	木刃mr
栮	木耳me
梕	木忍mr
樲	木貳me
粫	米而me
聏	耳而ee
荋	艹而ce
薾	艹爾ce
衈	血耳xe
袻	衤而ye
誀	言耳ye
隭	阝需ex
